p,c,alpha,err_ridge,err_dp
2.02,2.0,59285625.24344554,0.0373077959592914,0.0047920810914654
2.02,4.0,118571250.48689108,0.0676657412971358,0.0047920813402682
2.04,2.0,70295707.21012533,0.0441105363805883,0.0047920735419214
2.04,4.0,140591414.42025065,0.0710468392502629,0.0047921062618268
2.06,2.0,83350499.07764925,0.0507937595014774,0.0047920827790311
2.06,4.0,166700998.1552985,0.0746149532797706,0.0047920648269263
2.08,2.0,98829729.04343332,0.0604796749257173,0.0047920737995372
2.08,4.0,197659458.08686665,0.0778445247120388,0.0047920530623636
2.0,2.0,50000000.0,0.032198735555961,0.0047920702347667
2.0,4.0,100000000.0,0.0596741223415101,0.0047920718852961
2.0,6.0,150000000.0,0.0716647371162184,0.0047920877313607
2.1,2.0,117183645.57960506,0.0653169089429843,0.0047920653160593
2.1,4.0,234367291.1592101,0.0872927962705995,0.0047920988625072
