N,epsilon,no_dp,dp
1000,0.2,7.478085956266587e-07,4.986929738546451
1000,0.4,7.456232734886695e-07,4.195520505435259
1000,0.6,7.53096673640895e-07,2.034667202572123
1000,0.8,7.514333846867491e-07,1.1738566311818746
1000,1.0,7.462619437393369e-07,0.740738312332457
1500,0.2,7.23407028691134e-07,6.3880076447035234
1500,0.4,7.240703788986521e-07,2.0625957299764575
1500,0.6,7.234408195745217e-07,0.9303288536064181
1500,0.8,7.263057256377856e-07,0.5152016887443382
1500,1.0,7.207597410688335e-07,0.3351818700535342
2000,0.2,7.065700922306674e-07,4.709267910216191
2000,0.4,7.099977846616257e-07,1.1991489804667812
2000,0.6,7.090261370137766e-07,0.5434954903187204
2000,0.8,7.122283692855898e-07,0.2991337841169731
2000,1.0,7.013370673243938e-07,0.18881899170394983
2500,0.2,7.014393102140558e-07,3.0669998460357006
2500,0.4,6.902939783397491e-07,0.7569008606822671
2500,0.6,7.015272157664646e-07,0.33917130046169564
2500,0.8,6.994111843352301e-07,0.18786890210771162
2500,1.0,6.990260597956818e-07,0.11844156810799063
3000,0.2,6.952813023327982e-07,2.3044235749624375
3000,0.4,6.908510043305092e-07,0.5620822943645448
3000,0.6,6.947475196248975e-07,0.25096482177238444
3000,0.8,6.939094083327547e-07,0.14405531620952927
3000,1.0,6.948899565756766e-07,0.09042110239214673
3500,0.2,6.919563011739503e-07,1.6026930039088128
3500,0.4,6.880506432810592e-07,0.4069939516010135
3500,0.6,6.871573494319808e-07,0.17840726260155662
3500,0.8,6.865816557180253e-07,0.09999817018229715
3500,1.0,6.906093785661543e-07,0.06412498966378584
4000,0.2,6.87854707915726e-07,1.2462782290732453
4000,0.4,6.81093802711286e-07,0.3102070161304047
4000,0.6,6.837038615145046e-07,0.13667984115261936
4000,0.8,6.821521714816177e-07,0.07805717034849946
4000,1.0,6.818666081874146e-07,0.050475401323626684
