D,T,avg_no_dp_excess,avg_dp_excess
31,1,0.0006167707122947941,0.0006190129937500508
31,21,0.00037591505839297746,0.0003764403327593638
31,41,0.00022848805264384105,0.00022815254300344805
31,61,0.00013710232677094662,0.00014205641591000224
31,81,8.340533615873844e-05,9.238028757047472e-05
31,101,5.023518231704257e-05,6.451741792869144e-05
31,121,3.072835491107925e-05,5.198390861548136e-05
31,141,1.8586467828239958e-05,4.876424491151975e-05
31,161,1.1189542781068573e-05,5.112803248486351e-05
31,181,6.815769293644498e-06,5.812867892463821e-05
31,201,4.055161982849052e-06,6.835120033284235e-05
31,221,2.477806617023237e-06,7.968028665723369e-05
31,241,1.4997291715248162e-06,9.470054015932188e-05
31,261,9.133973888070538e-07,0.00011111380596042209
31,281,5.512349156497191e-07,0.000129000932026052
31,301,3.3758301975418514e-07,0.000148070843875997
31,321,2.0281649733876557e-07,0.0001695838132900093
31,341,1.2300704402059474e-07,0.0001904341564929865
31,361,7.42650036281168e-08,0.00021401094656546345
31,381,4.50903206522225e-08,0.00024067845394312194
31,401,2.7166422152449356e-08,0.00026721327967058864
31,421,1.652724556905165e-08,0.00029459922040297174
31,441,9.997519100314355e-09,0.0003243860703117754
31,461,6.09229089731919e-09,0.0003565259813843833
31,481,3.6798442596801776e-09,0.0003894340839308098
